n_types,n_tokens,sample_id
12793,500000,67
13602,600000,67
14346,700000,67
75,100,68
133,200,68
193,300,68
235,400,68
274,500,68
305,600,68
348,700,68
406,800,68
434,900,68
475,1000,68
456,1000,68
759,2000,68
988,3000,68
1202,4000,68
1394,5000,68
1533,6000,68
1732,7000,68
1846,8000,68
2020,9000,68
2100,10000,68
2125,10000,68
3173,20000,68
3922,30000,68
4516,40000,68
5101,50000,68
5453,60000,68
5838,70000,68
6219,80000,68
6598,90000,68
6930,100000,68
6779,100000,68
9195,200000,68
10685,300000,68
11800,400000,68
12817,500000,68
13707,600000,68
14360,700000,68
79,100,69
133,200,69
195,300,69
234,400,69
277,500,69
307,600,69
363,700,69
393,800,69
427,900,69
470,1000,69
429,1000,69
719,2000,69
979,3000,69
1207,4000,69
1389,5000,69
1529,6000,69
1693,7000,69
1857,8000,69
2020,9000,69
2157,10000,69
2124,10000,69
3113,20000,69
3868,30000,69
4574,40000,69
5068,50000,69
5447,60000,69
5905,70000,69
6260,80000,69
6586,90000,69
6891,100000,69
6847,100000,69
9183,200000,69
10661,300000,69
11862,400000,69
12828,500000,69
13625,600000,69
14347,700000,69
79,100,70
128,200,70
195,300,70
229,400,70
254,500,70
313,600,70
355,700,70
396,800,70
412,900,70
437,1000,70
462,1000,70
762,2000,70
1007,3000,70
1181,4000,70
1401,5000,70
1586,6000,70
1726,7000,70
1919,8000,70
1998,9000,70
2113,10000,70
2125,10000,70
3135,20000,70
3960,30000,70
4523,40000,70
5017,50000,70
5570,60000,70
5919,70000,70
6186,80000,70
6546,90000,70
6842,100000,70
6863,100000,70
9162,200000,70
10676,300000,70
11918,400000,70
12796,500000,70
13641,600000,70
14358,700000,70
74,100,71
127,200,71
194,300,71
238,400,71
276,500,71
309,600,71
357,700,71
396,800,71
422,900,71
475,1000,71
461,1000,71
794,2000,71
977,3000,71
1151,4000,71
1412,5000,71
1581,6000,71
1705,7000,71
1873,8000,71
1997,9000,71
2136,10000,71
2105,10000,71
3195,20000,71
3966,30000,71
4557,40000,71
5050,50000,71
5425,60000,71
5873,70000,71
6263,80000,71
6585,90000,71
6894,100000,71
6897,100000,71
9090,200000,71
10696,300000,71
11862,400000,71
12765,500000,71
13596,600000,71
14351,700000,71
78,100,72
137,200,72
179,300,72
234,400,72
265,500,72
320,600,72
349,700,72
384,800,72
433,900,72
444,1000,72
454,1000,72
755,2000,72
988,3000,72
1196,4000,72
1405,5000,72
1548,6000,72
1705,7000,72
1857,8000,72
1908,9000,72
2130,10000,72
2134,10000,72
3109,20000,72
3941,30000,72
4485,40000,72
5029,50000,72
5396,60000,72
5892,70000,72
6241,80000,72
6602,90000,72
6906,100000,72
6877,100000,72
9284,200000,72
10695,300000,72
11830,400000,72
12787,500000,72
13669,600000,72
14354,700000,72
75,100,73
128,200,73
188,300,73
235,400,73
274,500,73
321,600,73
369,700,73
392,800,73
423,900,73
447,1000,73
456,1000,73
724,2000,73
943,3000,73
1213,4000,73
1413,5000,73
1573,6000,73
1711,7000,73
1855,8000,73
1958,9000,73
2143,10000,73
2132,10000,73
3128,20000,73
3859,30000,73
4502,40000,73
5015,50000,73
5488,60000,73
5882,70000,73
6208,80000,73
6575,90000,73
6917,100000,73
6828,100000,73
9173,200000,73
10641,300000,73
11895,400000,73
12800,500000,73
13639,600000,73
14355,700000,73
81,100,74
136,200,74
186,300,74
229,400,74
269,500,74
304,600,74
360,700,74
378,800,74
419,900,74
454,1000,74
467,1000,74
747,2000,74
1009,3000,74
1200,4000,74
1369,5000,74
1529,6000,74
1743,7000,74
1863,8000,74
1970,9000,74
2144,10000,74
2115,10000,74
3166,20000,74
3908,30000,74
4553,40000,74
4999,50000,74
5425,60000,74
5952,70000,74
6304,80000,74
6580,90000,74
6806,100000,74
6854,100000,74
9213,200000,74
10648,300000,74
11881,400000,74
12821,500000,74
13587,600000,74
14364,700000,74
75,100,75
148,200,75
198,300,75
228,400,75
261,500,75
289,600,75
352,700,75
399,800,75
426,900,75
456,1000,75
432,1000,75
767,2000,75
960,3000,75
1215,4000,75
1387,5000,75
1556,6000,75
1660,7000,75
1883,8000,75
1990,9000,75
2182,10000,75
2092,10000,75
3128,20000,75
3975,30000,75
4572,40000,75
5072,50000,75
5521,60000,75
5929,70000,75
6243,80000,75
6603,90000,75
6959,100000,75
6908,100000,75
9109,200000,75
10720,300000,75
11832,400000,75
12839,500000,75
13679,600000,75
14354,700000,75
78,100,76
135,200,76
185,300,76
237,400,76
266,500,76
308,600,76
340,700,76
388,800,76
431,900,76
494,1000,76
450,1000,76
760,2000,76
993,3000,76
1196,4000,76
1427,5000,76
1580,6000,76
1734,7000,76
1867,8000,76
2014,9000,76
2125,10000,76
2154,10000,76
3225,20000,76
3931,30000,76
4563,40000,76
5051,50000,76
5425,60000,76
5881,70000,76
6228,80000,76
6601,90000,76
6859,100000,76
6958,100000,76
9147,200000,76
10651,300000,76
11846,400000,76
12824,500000,76
13605,600000,76
14363,700000,76
79,100,77
127,200,77
185,300,77
219,400,77
279,500,77
302,600,77
340,700,77
394,800,77
442,900,77
419,1000,77
478,1000,77
744,2000,77
980,3000,77
1206,4000,77
1419,5000,77
1566,6000,77
1706,7000,77
1891,8000,77
2011,9000,77
2107,10000,77
2165,10000,77
3194,20000,77
3844,30000,77
4563,40000,77
4980,50000,77
5454,60000,77
5860,70000,77
6195,80000,77
6574,90000,77
6967,100000,77
6924,100000,77
9127,200000,77
10685,300000,77
11826,400000,77
12845,500000,77
13588,600000,77
14343,700000,77
86,100,78
146,200,78
184,300,78
223,400,78
270,500,78
315,600,78
357,700,78
389,800,78
433,900,78
465,1000,78
470,1000,78
740,2000,78
996,3000,78
1197,4000,78
1364,5000,78
1552,6000,78
1671,7000,78
1847,8000,78
1988,9000,78
2064,10000,78
2112,10000,78
3153,20000,78
3883,30000,78
4470,40000,78
5088,50000,78
5527,60000,78
5864,70000,78
6271,80000,78
6644,90000,78
6884,100000,78
6948,100000,78
9071,200000,78
10692,300000,78
11883,400000,78
12801,500000,78
13652,600000,78
14347,700000,78
72,100,79
137,200,79
176,300,79
225,400,79
264,500,79
311,600,79
356,700,79
391,800,79
434,900,79
456,1000,79
455,1000,79
743,2000,79
1004,3000,79
1169,4000,79
1368,5000,79
1585,6000,79
1753,7000,79
1824,8000,79
1994,9000,79
2126,10000,79
2136,10000,79
3146,20000,79
3949,30000,79
4573,40000,79
5008,50000,79
5460,60000,79
5912,70000,79
6227,80000,79
6570,90000,79
6916,100000,79
6874,100000,79
9102,200000,79
10708,300000,79
11789,400000,79
12858,500000,79
13653,600000,79
14322,700000,79
65,100,80
135,200,80
182,300,80
231,400,80
273,500,80
329,600,80
365,700,80
376,800,80
420,900,80
446,1000,80
442,1000,80
736,2000,80
1006,3000,80
1218,4000,80
1397,5000,80
1541,6000,80
1710,7000,80
1871,8000,80
2022,9000,80
2083,10000,80
2091,10000,80
3163,20000,80
3866,30000,80
4592,40000,80
5006,50000,80
5456,60000,80
5967,70000,80
6219,80000,80
6616,90000,80
6923,100000,80
6857,100000,80
9177,200000,80
10675,300000,80
11912,400000,80
12898,500000,80
13659,600000,80
14359,700000,80
74,100,81
142,200,81
187,300,81
234,400,81
280,500,81
333,600,81
332,700,81
380,800,81
426,900,81
455,1000,81
462,1000,81
728,2000,81
968,3000,81
1181,4000,81
1409,5000,81
1538,6000,81
1711,7000,81
1819,8000,81
1991,9000,81
2176,10000,81
2145,10000,81
3189,20000,81
3929,30000,81
4511,40000,81
5036,50000,81
5499,60000,81
5875,70000,81
6268,80000,81
6634,90000,81
6914,100000,81
6809,100000,81
9028,200000,81
10629,300000,81
11899,400000,81
12806,500000,81
13626,600000,81
14333,700000,81
74,100,82
129,200,82
197,300,82
225,400,82
274,500,82
324,600,82
360,700,82
385,800,82
429,900,82
437,1000,82
484,1000,82
759,2000,82
968,3000,82
1209,4000,82
1418,5000,82
1507,6000,82
1679,7000,82
1861,8000,82
2003,9000,82
2170,10000,82
2132,10000,82
3161,20000,82
3897,30000,82
4486,40000,82
5021,50000,82
5430,60000,82
5814,70000,82
6196,80000,82
6544,90000,82
6831,100000,82
6856,100000,82
9186,200000,82
10733,300000,82
11882,400000,82
12808,500000,82
13638,600000,82
14373,700000,82
83,100,83
128,200,83
172,300,83
223,400,83
275,500,83
302,600,83
355,700,83
386,800,83
423,900,83
443,1000,83
436,1000,83
766,2000,83
1005,3000,83
1173,4000,83
1392,5000,83
1565,6000,83
1682,7000,83
1877,8000,83
2030,9000,83
2143,10000,83
2060,10000,83
3150,20000,83
3872,30000,83
4569,40000,83
5009,50000,83
5482,60000,83
5854,70000,83
6251,80000,83
6573,90000,83
6844,100000,83
6849,100000,83
9135,200000,83
10638,300000,83
11840,400000,83
12792,500000,83
13588,600000,83
14351,700000,83
75,100,84
126,200,84
186,300,84
224,400,84
274,500,84
306,600,84
322,700,84
395,800,84
436,900,84
455,1000,84
452,1000,84
762,2000,84
981,3000,84
1226,4000,84
1381,5000,84
1490,6000,84
1726,7000,84
1882,8000,84
2030,9000,84
2111,10000,84
2127,10000,84
3165,20000,84
3845,30000,84
4431,40000,84
5089,50000,84
5534,60000,84
5865,70000,84
6345,80000,84
6585,90000,84
6800,100000,84
6892,100000,84
9124,200000,84
10771,300000,84
11788,400000,84
12824,500000,84
13640,600000,84
14358,700000,84
78,100,85
128,200,85
188,300,85
228,400,85
282,500,85
313,600,85
341,700,85
400,800,85
414,900,85
452,1000,85
459,1000,85
763,2000,85
1012,3000,85
1205,4000,85
1355,5000,85
1529,6000,85
1683,7000,85
1926,8000,85
2010,9000,85
2075,10000,85
2153,10000,85
3134,20000,85
3850,30000,85
4446,40000,85
5096,50000,85
5546,60000,85
5849,70000,85
6204,80000,85
6631,90000,85
6849,100000,85
6892,100000,85
9135,200000,85
10631,300000,85
11914,400000,85
12813,500000,85
13612,600000,85
14362,700000,85
74,100,86
127,200,86
183,300,86
227,400,86
279,500,86
324,600,86
367,700,86
400,800,86
445,900,86
436,1000,86
482,1000,86
754,2000,86
1005,3000,86
1241,4000,86
1438,5000,86
1579,6000,86
1729,7000,86
1814,8000,86
2030,9000,86
2122,10000,86
2186,10000,86
3187,20000,86
3924,30000,86
4495,40000,86
5121,50000,86
5487,60000,86
5917,70000,86
6265,80000,86
6402,90000,86
6945,100000,86
6890,100000,86
9250,200000,86
10678,300000,86
11869,400000,86
12830,500000,86
13578,600000,86
14362,700000,86
78,100,87
126,200,87
189,300,87
231,400,87
278,500,87
327,600,87
340,700,87
390,800,87
418,900,87
453,1000,87
457,1000,87
730,2000,87
965,3000,87
1217,4000,87
1447,5000,87
1575,6000,87
1679,7000,87
1859,8000,87
2020,9000,87
2205,10000,87
2112,10000,87
3142,20000,87
3850,30000,87
4528,40000,87
5072,50000,87
5503,60000,87
5879,70000,87
6256,80000,87
6558,90000,87
6911,100000,87
6825,100000,87
9120,200000,87
10623,300000,87
11813,400000,87
12730,500000,87
13635,600000,87
14376,700000,87
74,100,88
131,200,88
167,300,88
230,400,88
280,500,88
328,600,88
346,700,88
382,800,88
413,900,88
442,1000,88
450,1000,88
732,2000,88
1009,3000,88
1209,4000,88
1403,5000,88
1554,6000,88
1735,7000,88
1895,8000,88
1995,9000,88
2126,10000,88
2162,10000,88
3188,20000,88
3873,30000,88
4520,40000,88
5062,50000,88
5539,60000,88
5841,70000,88
6171,80000,88
6517,90000,88
6901,100000,88
6813,100000,88
9236,200000,88
10630,300000,88
11906,400000,88
12821,500000,88
13616,600000,88
14372,700000,88
76,100,89
133,200,89
177,300,89
210,400,89
273,500,89
312,600,89
360,700,89
393,800,89
417,900,89
464,1000,89
441,1000,89
739,2000,89
990,3000,89
1196,4000,89
1382,5000,89
1614,6000,89
1762,7000,89
1889,8000,89
2021,9000,89
2094,10000,89
2117,10000,89
3111,20000,89
3853,30000,89
4482,40000,89
5042,50000,89
5493,60000,89
5888,70000,89
6231,80000,89
6686,90000,89
6919,100000,89
6947,100000,89
9197,200000,89
10676,300000,89
11861,400000,89
12803,500000,89
13626,600000,89
14364,700000,89
83,100,90
141,200,90
192,300,90
226,400,90
279,500,90
326,600,90
352,700,90
396,800,90
429,900,90
458,1000,90
456,1000,90
757,2000,90
974,3000,90
1190,4000,90
1361,5000,90
1533,6000,90
1752,7000,90
1812,8000,90
1951,9000,90
2137,10000,90
2144,10000,90
3169,20000,90
3862,30000,90
4485,40000,90
5046,50000,90
5461,60000,90
5814,70000,90
6243,80000,90
6566,90000,90
6878,100000,90
6908,100000,90
9182,200000,90
10643,300000,90
11843,400000,90
12767,500000,90
13687,600000,90
14333,700000,90
81,100,91
140,200,91
179,300,91
244,400,91
271,500,91
303,600,91
354,700,91
381,800,91
429,900,91
457,1000,91
459,1000,91
752,2000,91
985,3000,91
1184,4000,91
1344,5000,91
1542,6000,91
1687,7000,91
1852,8000,91
1996,9000,91
2164,10000,91
2118,10000,91
3113,20000,91
3843,30000,91
4509,40000,91
5014,50000,91
5448,60000,91
5923,70000,91
6345,80000,91
6645,90000,91
6926,100000,91
6864,100000,91
9104,200000,91
10624,300000,91
11862,400000,91
12876,500000,91
13656,600000,91
14352,700000,91
76,100,92
139,200,92
182,300,92
230,400,92
267,500,92
315,600,92
340,700,92
381,800,92
436,900,92
444,1000,92
456,1000,92
755,2000,92
995,3000,92
1245,4000,92
1406,5000,92
1547,6000,92
1693,7000,92
1871,8000,92
1994,9000,92
2118,10000,92
2187,10000,92
3129,20000,92
3895,30000,92
4502,40000,92
5044,50000,92
5471,60000,92
5899,70000,92
6314,80000,92
6562,90000,92
6916,100000,92
6861,100000,92
9159,200000,92
10653,300000,92
11836,400000,92
12822,500000,92
13632,600000,92
14355,700000,92
78,100,93
123,200,93
189,300,93
239,400,93
274,500,93
312,600,93
366,700,93
408,800,93
434,900,93
444,1000,93
456,1000,93
738,2000,93
982,3000,93
1190,4000,93
1390,5000,93
1584,6000,93
1696,7000,93
1872,8000,93
1988,9000,93
2114,10000,93
2144,10000,93
3120,20000,93
3941,30000,93
4517,40000,93
5002,50000,93
5461,60000,93
5863,70000,93
6253,80000,93
6638,90000,93
6907,100000,93
6913,100000,93
9118,200000,93
10739,300000,93
11773,400000,93
12841,500000,93
13631,600000,93
14360,700000,93
75,100,94
138,200,94
194,300,94
221,400,94
283,500,94
307,600,94
364,700,94
368,800,94
424,900,94
458,1000,94
455,1000,94
761,2000,94
972,3000,94
1226,4000,94
1415,5000,94
1558,6000,94
1757,7000,94
1853,8000,94
1971,9000,94
2090,10000,94
2179,10000,94
3171,20000,94
3871,30000,94
4494,40000,94
4994,50000,94
5553,60000,94
5856,70000,94
6195,80000,94
6520,90000,94
6922,100000,94
6965,100000,94
9210,200000,94
10744,300000,94
11884,400000,94
12869,500000,94
13673,600000,94
14372,700000,94
74,100,95
121,200,95
181,300,95
234,400,95
282,500,95
315,600,95
357,700,95
401,800,95
408,900,95
458,1000,95
436,1000,95
743,2000,95
978,3000,95
1218,4000,95
1355,5000,95
1552,6000,95
1710,7000,95
1881,8000,95
2028,9000,95
2141,10000,95
2107,10000,95
3196,20000,95
3892,30000,95
4509,40000,95
4996,50000,95
5462,60000,95
5905,70000,95
6210,80000,95
6592,90000,95
6897,100000,95
6847,100000,95
9240,200000,95
10725,300000,95
11864,400000,95
12864,500000,95
13683,600000,95
14361,700000,95
73,100,96
141,200,96
179,300,96
237,400,96
264,500,96
322,600,96
357,700,96
391,800,96
424,900,96
471,1000,96
463,1000,96
750,2000,96
1023,3000,96
1257,4000,96
1381,5000,96
1590,6000,96
1710,7000,96
1865,8000,96
2003,9000,96
2124,10000,96
2110,10000,96
3153,20000,96
3898,30000,96
4572,40000,96
4989,50000,96
5577,60000,96
5928,70000,96
6250,80000,96
6523,90000,96
6952,100000,96
6889,100000,96
9179,200000,96
10634,300000,96
11893,400000,96
12764,500000,96
13613,600000,96
14347,700000,96
82,100,97
125,200,97
175,300,97
223,400,97
263,500,97
307,600,97
356,700,97
406,800,97
423,900,97
453,1000,97
444,1000,97
707,2000,97
984,3000,97
1218,4000,97
1371,5000,97
1559,6000,97
1692,7000,97
1881,8000,97
1968,9000,97
2139,10000,97
2151,10000,97
3138,20000,97
3935,30000,97
4567,40000,97
5045,50000,97
5535,60000,97
5868,70000,97
6230,80000,97
6558,90000,97
6872,100000,97
6908,100000,97
9085,200000,97
10649,300000,97
11788,400000,97
12772,500000,97
13602,600000,97
14372,700000,97
77,100,98
131,200,98
192,300,98
244,400,98
273,500,98
304,600,98
357,700,98
402,800,98
428,900,98
454,1000,98
478,1000,98
741,2000,98
997,3000,98
1206,4000,98
1419,5000,98
1590,6000,98
1716,7000,98
1843,8000,98
1994,9000,98
2132,10000,98
2161,10000,98
3150,20000,98
3910,30000,98
4543,40000,98
5041,50000,98
5414,60000,98
5883,70000,98
6221,80000,98
6646,90000,98
6985,100000,98
6917,100000,98
9266,200000,98
10681,300000,98
11885,400000,98
12792,500000,98
13637,600000,98
14357,700000,98
81,100,99
125,200,99
201,300,99
243,400,99
271,500,99
310,600,99
356,700,99
389,800,99
425,900,99
442,1000,99
456,1000,99
742,2000,99
988,3000,99
1212,4000,99
1390,5000,99
1554,6000,99
1676,7000,99
1832,8000,99
1989,9000,99
2115,10000,99
2114,10000,99
3123,20000,99
3974,30000,99
4506,40000,99
4985,50000,99
5457,60000,99
5867,70000,99
6194,80000,99
6552,90000,99
6822,100000,99
6892,100000,99
9102,200000,99
10631,300000,99
11894,400000,99
12841,500000,99
13637,600000,99
14368,700000,99
76,100,100
124,200,100
183,300,100
229,400,100
276,500,100
314,600,100
368,700,100
382,800,100
443,900,100
458,1000,100
469,1000,100
763,2000,100
1001,3000,100
1238,4000,100
1342,5000,100
1590,6000,100
1709,7000,100
1899,8000,100
2016,9000,100
2142,10000,100
2125,10000,100
3171,20000,100
3827,30000,100
4542,40000,100
5079,50000,100
5406,60000,100
5819,70000,100
6248,80000,100
6491,90000,100
6907,100000,100
6901,100000,100
9083,200000,100
10685,300000,100
11829,400000,100
12840,500000,100
13659,600000,100
14362,700000,100
